route_name,station_code,bike_reservations
Acela Express,BAL,no
Acela Express,BBY,no
Acela Express,BOS,no
Acela Express,BWI,no
Acela Express,MET,no
Acela Express,NHV,no
Acela Express,NYP,no
Acela Express,NWK,no
Acela Express,PHL,no
Acela Express,PVD,no
Acela Express,RTE,no
Acela Express,STM,no
Acela Express,WAS,no
Acela Express,WIL,no
Adirondack,ALB,no
Adirondack,CRT,no
Adirondack,FED,no
Adirondack,HUD,no
Adirondack,MTR,no
Adirondack,NYP,no
Adirondack,PLB,no
Adirondack,POH,no
Adirondack,POU,no
Adirondack,RHI,no
Adirondack,RSP,no
Adirondack,SAR,no
Adirondack,SDY,no
Adirondack,SLQ,no
Adirondack,FTC,no
Adirondack,WSP,no
Adirondack,WHL,no
Adirondack,YNY,no
Amtrak Cascades,ALY,yes
Amtrak Cascades,BEL,yes
Amtrak Cascades,CTL,yes
Amtrak Cascades,EDM,yes
Amtrak Cascades,EUG,yes
Amtrak Cascades,EVR,yes
Amtrak Cascades,KEL,yes
Amtrak Cascades,MVW,yes
Amtrak Cascades,OLW,yes
Amtrak Cascades,ORC,yes
Amtrak Cascades,PDX,yes
Amtrak Cascades,SLM,yes
Amtrak Cascades,SEA,yes
Amtrak Cascades,STW,yes
Amtrak Cascades,TAC,yes
Amtrak Cascades,TUK,yes
Amtrak Cascades,VAC,yes
Amtrak Cascades,VAN,yes
Auto Train,LOR,no
Auto Train,SFA,no
Berkshire Flyer,ALB,yes
Berkshire Flyer,CRT,yes
Berkshire Flyer,HUD,yes
Berkshire Flyer,NYP,yes
Berkshire Flyer,PIT,yes
Berkshire Flyer,POU,yes
Berkshire Flyer,RHI,yes
Berkshire Flyer,YNY,yes
Blue Water,BTL,yes
Blue Water,CHI,yes
Blue Water,DOA,yes
Blue Water,DRD,yes
Blue Water,LNS,yes
Blue Water,FLN,yes
Blue Water,KAL,yes
Blue Water,LPE,yes
Blue Water,NBU,yes
Blue Water,NLS,yes
Blue Water,PTH,yes
Borealis,CHI,no
Borealis,CBS,no
Borealis,GLN,no
Borealis,LSE,no
Borealis,MKE,no
Borealis,MKA,no
Borealis,POG,no
Borealis,RDW,no
Borealis,MSP,no
Borealis,SVT,no
Borealis,TOH,no
Borealis,WIN,no
Borealis,WDL,no
California Zephyr,BRL,no
California Zephyr,CHI,yes
California Zephyr,COX,no
California Zephyr,CRN,no
California Zephyr,DAV,no
California Zephyr,DEN,yes
California Zephyr,ELK,no
California Zephyr,EMY,yes
California Zephyr,FMG,no
California Zephyr,WIP,yes
California Zephyr,GBB,yes
California Zephyr,GSC,no
California Zephyr,GRA,no
California Zephyr,GJT,no
California Zephyr,GRI,no
California Zephyr,HAS,no
California Zephyr,HER,no
California Zephyr,HLD,no
California Zephyr,LNK,no
California Zephyr,MTZ,yes
California Zephyr,MCK,no
California Zephyr,MTP,no
California Zephyr,NPV,no
California Zephyr,OMA,yes
California Zephyr,OSC,no
California Zephyr,OTM,yes
California Zephyr,PCT,no
California Zephyr,PRO,no
California Zephyr,RNO,yes
California Zephyr,RIC,no
California Zephyr,RSV,no
California Zephyr,SAC,yes
California Zephyr,SLC,yes
California Zephyr,TRU,no
California Zephyr,WNN,no
Capitol Corridor,ARN,unreserved
Capitol Corridor,BKY,unreserved
Capitol Corridor,DAV,unreserved
Capitol Corridor,EMY,unreserved
Capitol Corridor,FFV,unreserved
Capitol Corridor,FMT,unreserved
Capitol Corridor,HAY,unreserved
Capitol Corridor,MTZ,unreserved
Capitol Corridor,OAC,unreserved
Capitol Corridor,OKJ,unreserved
Capitol Corridor,RIC,unreserved
Capitol Corridor,RLN,unreserved
Capitol Corridor,RSV,unreserved
Capitol Corridor,SAC,unreserved
Capitol Corridor,SJC,unreserved
Capitol Corridor,GAC,unreserved
Capitol Corridor,SCC,unreserved
Capitol Corridor,SUI,unreserved
Cardinal,ALD,no
Cardinal,ALX,yes
Cardinal,AKY,no
Cardinal,BAL,yes
Cardinal,CHW,yes
Cardinal,CVS,yes
Cardinal,CHI,yes
Cardinal,CIN,yes
Cardinal,CLF,no
Cardinal,COI,no
Cardinal,CRF,yes
Cardinal,CLP,no
Cardinal,DYE,yes
Cardinal,HIN,no
Cardinal,HUN,no
Cardinal,IND,yes
Cardinal,LAF,yes
Cardinal,MSS,no
Cardinal,MAY,no
Cardinal,MNG,no
Cardinal,NYP,yes
Cardinal,NWK,yes
Cardinal,PHL,yes
Cardinal,PRC,yes
Cardinal,REN,yes
Cardinal,SPM,no
Cardinal,STA,no
Cardinal,THN,no
Cardinal,TRE,no
Cardinal,WAS,yes
Cardinal,WSS,no
Cardinal,WIL,yes
Carolinian,ALX,yes
Carolinian,BAL,yes
Carolinian,BNC,yes
Carolinian,CYN,yes
Carolinian,CLT,yes
Carolinian,DNC,yes
Carolinian,FBG,no
Carolinian,GRO,yes
Carolinian,HPT,yes
Carolinian,KAN,yes
Carolinian,NYP,yes
Carolinian,NWK,yes
Carolinian,PTB,yes
Carolinian,PHL,yes
Carolinian,QAN,no
Carolinian,RGH,yes
Carolinian,RVR,yes
Carolinian,RMT,yes
Carolinian,SAL,yes
Carolinian,SSM,no
Carolinian,TRE,no
Carolinian,WAS,yes
Carolinian,WIL,yes
Carolinian,WLN,yes
City of New Orleans,BRH,no
City of New Orleans,CDL,yes
City of New Orleans,CEN,no
City of New Orleans,CHM,yes
City of New Orleans,CHI,yes
City of New Orleans,EFG,no
City of New Orleans,FTN,no
City of New Orleans,GWD,no
City of New Orleans,HMD,yes
City of New Orleans,HAZ,no
City of New Orleans,HMW,no
City of New Orleans,JAN,yes
City of New Orleans,KKI,no
City of New Orleans,MKS,no
City of New Orleans,MAT,no
City of New Orleans,MCB,no
City of New Orleans,MEM,yes
City of New Orleans,NOL,yes
City of New Orleans,NBN,no
City of New Orleans,YAZ,no
Coast Starlight,ALY,yes
Coast Starlight,BUR,no
Coast Starlight,CTL,no
Coast Starlight,CMO,no
Coast Starlight,CIC,no
Coast Starlight,DAV,no
Coast Starlight,DUN,no
Coast Starlight,EMY,yes
Coast Starlight,EUG,yes
Coast Starlight,KEL,no
Coast Starlight,KFS,no
Coast Starlight,LAX,yes
Coast Starlight,MTZ,yes
Coast Starlight,OKJ,yes
Coast Starlight,OLW,no
Coast Starlight,OXN,yes
Coast Starlight,PRB,no
Coast Starlight,PDX,yes
Coast Starlight,RDD,no
Coast Starlight,SAC,yes
Coast Starlight,SLM,yes
Coast Starlight,SNS,yes
Coast Starlight,SJC,yes
Coast Starlight,SLO,yes
Coast Starlight,SBA,yes
Coast Starlight,SEA,yes
Coast Starlight,SIM,no
Coast Starlight,TAC,yes
Coast Starlight,VNC,yes
Coast Starlight,VAN,no
Crescent,ALX,yes
Crescent,ATN,no
Crescent,ATL,yes
Crescent,BAL,yes
Crescent,BHM,yes
Crescent,BWI,yes
Crescent,CLT,no
Crescent,CVS,yes
Crescent,CSN,no
Crescent,CLP,no
Crescent,DAN,no
Crescent,GNS,no
Crescent,GAS,no
Crescent,GRO,yes
Crescent,GRV,no
Crescent,HBG,no
Crescent,HPT,yes
Crescent,LAU,no
Crescent,LYH,yes
Crescent,MSS,no
Crescent,MEI,yes
Crescent,MET,yes
Crescent,NOL,yes
Crescent,NYP,yes
Crescent,NWK,yes
Crescent,PHL,yes
Crescent,PIC,no
Crescent,SAL,yes
Crescent,SDL,no
Crescent,SPB,no
Crescent,TCA,no
Crescent,TRE,no
Crescent,TCL,yes
Crescent,WAS,yes
Crescent,WIL,yes
Downeaster,BON,yes
Downeaster,BRK,yes
Downeaster,DOV,yes
Downeaster,DHM,yes
Downeaster,EXR,yes
Downeaster,FRE,yes
Downeaster,HHL,yes
Downeaster,ORB,yes
Downeaster,POR,yes
Downeaster,SAO,yes
Downeaster,WEM,yes
Downeaster,WOB,yes
Empire Builder,BNG,no
Empire Builder,BRO,yes
Empire Builder,CHI,yes
Empire Builder,CBS,yes
Empire Builder,CUT,no
Empire Builder,DLK,no
Empire Builder,DVL,no
