route_name,carry_on,checked,reservation_required,tire_width,remove_wheel,route_note
Crescent,no,yes,,,
Hiawatha Service,no,yes,,,
Wolverine,yes,no,,,
Saluki,yes,no,,,
Capitol Corridor,yes,no,no,2.5,
Gold Runner,yes,yes,no,2.5,
Northeast Regional,yes,no,,,yes
Empire Service,yes,no,,,yes
Auto Train,no,no,,,
Empire Builder,no,yes,,,,"Bicycle reservations only available on train 7/8, not train 27/28."
Southwest Chief,no,yes,,,
Pere Marquette,no,yes,,,
Illini,yes,no,,,
Cardinal,no,yes,,,
Amtrak Cascades,yes,yes,,,
Downeaster,yes,no,,,yes
Pennsylvanian,no,yes,,,
Maple Leaf,yes,no,,,yes
Palmetto,no,yes,,,
Carl Sandburg,yes,no,,,
Pacific Surfliner,yes,no,,4,
Piedmont,yes,yes,,,
Lake Shore Limited,no,yes,,,
Carolinian,no,yes,,,
Heartland Flyer,no,no,,,
Texas Eagle,no,yes,,,
Vermonter,yes,no,,,yes
Keystone Service,yes,no,,,yes
Adirondack,yes,no,,,yes
California Zephyr,no,yes,,,
Missouri River Runner,yes,no,,,
Ethan Allen Express,yes,no,,,yes
Coast Starlight,no,yes,,,
Lincoln Service Missouri River Runner,yes,no,,,
Sunset Limited,no,yes,,,
Acela,no,no,,,
Amtrak Hartford Line,yes,no,,,yes
Valley Flyer,yes,no,,,yes
City of New Orleans,no,yes,,,
Silver Meteor,no,yes,,,
Lincoln Service,yes,no,,,
Blue Water,yes,no,,,
Illinois Zephyr,yes,no,,,
Borealis,no,no,,,
Berkshire Flyer,yes,no,,,yes
Floridian,no,yes,,,
Amtrak Mardi Gras Service,no,no,,,
